"Activity" "ID" "Mean x-Acceleration" "Mean y-acceleration" "Mean z-Acceleration" "Std-Dev x-Accel" "Std-Dev y-Accel" "Std-Dev z-Accel"
"laying down" 1 0.265630771479769 -0.0182924037358671 -0.107773308518786 -0.544496246736789 -0.365937621719364 -0.501458230078902
"laying down" 1 0.268648643296245 -0.0183177280685082 -0.107435631519084 -0.960932405036523 -0.943507185574074 -0.948069300024897
"laying down" 2 0.272740679734104 -0.0193900576765607 -0.114579994049133 -0.572071881566763 -0.371647576389595 -0.514947199960983
"laying down" 3 0.274451938803468 -0.0180042267840173 -0.106602233437347 -0.620111723867052 -0.472794238164451 -0.644519432933526
"laying down" 4 0.2792118525 -0.0153805774015434 -0.10735768117341 -0.582406951554913 -0.467129999315 -0.678122879554913
"laying down" 5 0.286721066736994 -0.0165076209868873 -0.105437565964451 -0.480107633685838 -0.354669845499249 -0.608481858407514
"laying down" 6 0.276948879765896 -0.0176416633651156 -0.115038851936416 -0.495200150226647 -0.346126308608988 -0.65092734224474
"laying down" 7 0.27857622932659 -0.0188152496880058 -0.111754696750289 -0.536672300609827 -0.476085739975723 -0.441940473240318
"laying down" 8 0.282841157936416 -0.0183166489821387 -0.106689795252023 -0.520143633602601 -0.298408675202601 -0.455138056162428
"laying down" 9 0.282626333546243 -0.0207349777793266 -0.102615038472832 -0.50297156342659 -0.487962844006647 -0.46671227502763
"laying down" 10 0.287695758768786 -0.0180516424534104 -0.110648763027746 -0.4919482711 -0.425506579146532 -0.564552575981358
"laying down" 11 0.283292433442197 -0.0196045402753179 -0.108726075803468 -0.55946575065289 -0.441480191052312 -0.634959228907514
"laying down" 12 0.279689678641618 -0.0188528933934869 -0.106738976780347 -0.561070960148844 -0.478993113680058 -0.670599895702312
"laying down" 13 0.280067180424856 -0.0176079025340751 -0.108501949315318 -0.609362864870231 -0.424451672743208 -0.572434053503468
"laying down" 14 0.276153714280347 -0.0162480705782081 -0.101262210423526 -0.593342901311561 -0.349081524839133 -0.293092138999624
"laying down" 15 0.282161599271676 -0.0164618313446821 -0.111642048089595 -0.545556976685838 -0.456598841678237 -0.685366826459538
"laying down" 16 0.277887440374317 -0.0158567888309016 -0.107263924445355 -0.668161498298634 -0.649947067892896 -0.603819902386066
"laying down" 17 0.274029548065217 -0.0175416045074728 -0.109199853130082 -0.608455243870734 -0.567005319464348 -0.660582755619022
"laying down" 18 0.278008290652174 -0.0174011451287166 -0.108183294972826 -0.686926571590842 -0.620087955307065 -0.695553188086957
"laying down" 19 0.272644029532609 -0.0183914015961649 -0.118342199901571 -0.566229809528098 -0.497392738797147 -0.639799040615489
"laying down" 20 0.272668412625 -0.017182879707847 -0.108134730605435 -0.587760368397092 -0.353718487973098 -0.618313211942935
"laying down" 21 0.277466525522059 -0.0176664578561765 -0.10877848058848 -0.672323867377451 -0.565585190336299 -0.669621813176471
"laying down" 22 0.278256012756863 -0.0180263776132206 -0.109708230116176 -0.435008996291985 -0.34392633011674 -0.547237203655637
"laying down" 23 0.275794083136275 -0.0195268863394608 -0.109974015111054 -0.589424129060539 -0.4752074888925 -0.430972873991422
"laying down" 24 0.279715173639706 -0.0177261611695294 -0.10861283095098 -0.647723589844853 -0.537888184082598 -0.61012704892402
"laying down" 25 0.275301467772127 -0.0193221769314914 -0.10962903098044 -0.716264537547677 -0.531421035602689 -0.64709556105868
"laying down" 26 0.276522546450122 -0.0162827732199242 -0.110623274210269 -0.61635062001956 -0.569873002256479 -0.68908153007335
"laying down" 27 0.282867146772616 -0.0176744807683249 -0.113762545812958 -0.633453222190709 -0.587384863323716 -0.655923722493888
"laying down" 28 0.282633158386308 -0.0195393403901956 -0.112616474894377 -0.629709011287531 -0.543752771803423 -0.662702394743276
"laying down" 29 0.285424606721271 -0.0192725320283619 -0.111932855589242 -0.528236774981663 -0.524776313647946 -0.558569480441809
"laying down" 30 0.281358643067237 -0.018044115192934 -0.109115737544499 -0.599870845601467 -0.494182551565526 -0.510704222676577
"sitting" 1 0.274250775711163 -0.0130788797432407 -0.105680358796039 -0.982967744223251 -0.937532742389573 -0.941787944014918
"standing" 1 0.279418961790123 -0.016228684587427 -0.106556515475124 -0.984278482937243 -0.932728660056584 -0.940485878645576
"Walking" 1 0.276881315226337 -0.0177198693063888 -0.108761035733025 -0.39104111363802 -0.126623788917551 -0.350210047779336
"Walking downstairs" 1 0.285960514342078 -0.0164295931360594 -0.106303690833425 -0.0930795366036157 -0.0862162598175566 -0.289680532307449
"Walking upstairs" 1 0.26600280454856 -0.0239797544136382 -0.117478600861574 -0.326878575076019 -0.130530576777531 -0.266787310267706
